user_id,age,gender,occupation,device_type,daily_phone_hours,social_media_hours,work_productivity_score,sleep_hours,stress_level,app_usage_count,caffeine_intake_cups,weekend_screen_time_hours
U1,58,Male,Professional,Android,1,7,6,9,4,42,1,9
U2,25,Male,Professional,Android,1,2,5,6,1,51,3,5
U3,19,Male,Student,iOS,5,6,5,9,4,14,5,6
U4,35,Female,Business Owner,iOS,6,2,2,6,3,36,6,13
U5,33,Male,Freelancer,Android,8,1,4,6,3,37,5,10
U6,32,Female,Student,Android,11,4,9,6,7,34,5,4
U7,26,Male,Student,iOS,6,6,8,7,3,5,3,3
U8,24,Male,Freelancer,iOS,8,2,4,8,3,6,6,13
U9,52,Female,Business Owner,Android,9,2,3,6,4,17,3,3
U10,23,Female,Student,iOS,3,1,1,4,2,7,0,3
U11,55,Other,Professional,Android,8,1,8,6,9,59,1,7
U12,45,Other,Business Owner,Android,12,7,6,5,10,12,1,9
U13,20,Female,Business Owner,iOS,11,6,3,5,4,22,6,4
U14,19,Female,Freelancer,iOS,10,4,10,6,1,36,6,2
U15,23,Male,Professional,Android,1,2,3,5,8,29,5,9
U16,31,Male,Business Owner,Android,12,6,9,9,5,29,0,8
U17,32,Other,Professional,Android,2,8,8,5,1,40,1,3
U18,50,Female,Student,Android,11,6,8,4,5,57,0,5
U19,56,Female,Business Owner,Android,3,4,2,4,1,19,1,6
U20,19,Other,Professional,Android,4,4,1,6,5,45,2,12
U21,53,Other,Business Owner,Android,3,3,7,8,1,54,6,8
U22,30,Other,Professional,iOS,10,7,2,8,6,28,2,4
U23,59,Female,Freelancer,Android,11,5,5,9,8,31,6,3
U24,52,Female,Student,iOS,6,5,4,8,8,40,2,12
U25,44,Female,Business Owner,Android,4,4,7,7,6,40,5,12
U26,32,Female,Professional,iOS,10,8,8,7,10,31,4,7
U27,46,Male,Business Owner,iOS,1,6,4,6,10,15,3,11
U28,55,Other,Student,iOS,10,6,1,6,10,18,2,5
U29,35,Male,Professional,iOS,12,2,1,5,10,42,4,5
U30,18,Other,Student,iOS,11,8,3,5,7,41,0,9
U31,28,Other,Student,Android,2,2,1,4,9,59,1,10
U32,45,Other,Freelancer,Android,6,4,4,6,10,25,0,8
U33,39,Other,Professional,Android,8,2,8,8,6,41,3,4
U34,35,Other,Freelancer,iOS,3,2,7,7,6,21,1,10
U35,27,Female,Student,Android,12,6,5,6,1,40,0,13
U36,31,Male,Freelancer,Android,7,2,9,8,5,58,0,6
U37,39,Female,Professional,iOS,4,2,9,4,2,46,1,5
U38,24,Male,Freelancer,iOS,4,6,6,8,5,57,1,5
U39,23,Other,Professional,Android,8,0,2,4,5,52,1,4
U40,42,Male,Student,iOS,2,2,2,7,10,54,4,7
U41,24,Male,Student,iOS,3,5,2,5,2,47,6,12
U42,40,Female,Professional,iOS,10,6,3,5,7,46,0,4
U43,40,Female,Student,iOS,1,1,5,8,8,6,0,5
U44,56,Male,Professional,Android,1,7,9,8,10,23,6,2
U45,34,Female,Professional,iOS,2,6,7,7,9,17,2,6
U46,20,Male,Student,iOS,9,1,6,9,4,56,5,9
U47,47,Female,Freelancer,iOS,6,7,10,5,9,6,6,2
U48,52,Male,Freelancer,iOS,5,5,9,7,1,6,4,7
U49,25,Female,Freelancer,iOS,10,2,9,4,8,37,5,9
U50,42,Male,Business Owner,iOS,8,4,4,6,2,26,3,10
U51,23,Female,Student,Android,10,6,1,9,4,34,6,10
U52,53,Female,Freelancer,Android,7,7,9,8,10,37,2,12
U53,36,Female,Freelancer,iOS,4,5,6,7,9,32,3,13
U54,58,Male,Professional,Android,6,7,2,4,1,33,4,9
U55,57,Female,Professional,Android,12,6,10,6,3,12,5,14
U56,41,Female,Professional,iOS,6,3,1,5,4,35,3,8
U57,54,Male,Student,Android,4,8,5,9,9,24,6,6
U58,30,Female,Professional,iOS,4,2,8,4,1,49,6,12
U59,22,Female,Freelancer,Android,2,8,5,5,6,40,5,3
U60,20,Male,Freelancer,Android,10,7,1,8,8,43,0,12
U61,60,Female,Freelancer,Android,1,5,6,7,8,5,2,6
U62,32,Male,Professional,Android,10,7,2,6,5,45,0,10
U63,36,Female,Professional,iOS,5,3,3,8,3,45,1,8
U64,23,Female,Freelancer,iOS,4,8,6,5,6,24,0,4
U65,32,Female,Freelancer,Android,6,5,8,6,2,16,6,3
U66,24,Female,Professional,iOS,6,2,7,5,1,31,6,8
U67,42,Other,Professional,Android,8,5,3,8,5,13,6,10
U68,35,Other,Professional,Android,4,4,10,6,4,58,4,11
U69,47,Other,Student,Android,10,2,4,5,10,16,4,5
U70,58,Other,Business Owner,iOS,7,8,10,5,9,41,5,10
U71,41,Other,Student,Android,4,1,2,7,6,55,0,12
U72,28,Male,Student,iOS,4,7,5,6,4,9,6,7
U73,41,Other,Freelancer,Android,12,5,6,7,7,52,3,11
U74,40,Female,Student,iOS,9,6,6,7,10,27,6,11
U75,31,Other,Freelancer,iOS,4,7,1,6,7,15,6,12
U76,60,Other,Student,Android,10,8,5,7,2,53,5,9
U77,35,Female,Student,Android,7,4,1,5,8,45,3,8
U78,59,Other,Business Owner,Android,10,6,10,5,8,60,5,12
U79,22,Female,Business Owner,iOS,7,3,6,7,9,36,2,13
U80,56,Female,Professional,iOS,2,5,7,8,6,8,4,12
U81,58,Male,Professional,iOS,5,4,10,8,5,32,3,11
U82,28,Other,Professional,iOS,12,4,4,5,4,6,6,3
U83,52,Other,Business Owner,Android,11,3,9,6,1,16,1,2
U84,33,Other,Professional,iOS,9,7,1,9,3,44,0,14
U85,28,Male,Freelancer,iOS,11,1,5,5,4,28,5,13
U86,47,Male,Student,Android,3,2,7,8,8,10,4,5
U87,42,Other,Student,iOS,9,7,5,8,5,26,6,9
U88,35,Female,Business Owner,Android,9,1,7,8,4,35,6,2
U89,58,Other,Professional,iOS,11,4,9,7,9,30,5,12
U90,53,Male,Freelancer,Android,10,8,10,5,10,20,3,12
U91,32,Female,Student,iOS,6,8,9,5,6,39,1,4
U92,38,Other,Freelancer,Android,10,3,9,5,10,33,1,8
U93,21,Other,Professional,Android,2,7,1,7,4,44,3,12
U94,32,Female,Freelancer,Android,1,2,1,5,1,11,1,10
U95,20,Female,Professional,iOS,4,4,10,4,8,15,2,11
U96,38,Male,Freelancer,iOS,3,5,7,8,6,16,6,8
U97,43,Male,Business Owner,iOS,9,3,4,6,1,25,4,5
U98,35,Other,Business Owner,iOS,6,6,3,6,6,29,5,9
U99,22,Male,Freelancer,Android,11,3,6,4,1,8,6,3
U100,31,Other,Student,iOS,9,3,3,8,9,35,3,14
U101,54,Male,Freelancer,Android,3,8,6,6,1,28,3,11
U102,38,Female,Freelancer,Android,1,2,6,5,2,17,1,11
U103,31,Male,Student,Android,5,6,4,8,6,10,0,14
U104,59,Other,Freelancer,Android,6,6,3,4,3,6,3,5
U105,49,Female,Business Owner,iOS,4,7,4,5,9,17,0,13
U106,43,Female,Student,iOS,1,7,3,7,5,28,1,10
U107,59,Other,Business Owner,iOS,10,2,3,7,10,21,6,10
U108,47,Male,Freelancer,iOS,8,8,1,5,9,46,1,8
U109,27,Female,Freelancer,iOS,12,6,3,9,10,46,3,14
U110,34,Male,Freelancer,Android,6,7,3,6,6,5,2,11
U111,26,Female,Business Owner,iOS,9,3,4,7,9,9,6,4
U112,33,Other,Professional,Android,9,6,7,5,1,38,3,12
U113,53,Female,Business Owner,iOS,10,7,1,5,5,44,5,10
U114,52,Male,Student,iOS,5,6,5,6,4,43,0,12
U115,34,Other,Student,Android,3,6,8,8,4,8,6,9
U116,55,Female,Business Owner,Android,9,1,4,5,5,56,0,6
U117,45,Female,Student,iOS,3,4,9,4,7,28,0,6
U118,55,Other,Freelancer,Android,5,7,10,7,6,53,1,3
U119,43,Other,Student,iOS,8,7,6,6,9,15,3,6
U120,41,Male,Professional,Android,7,2,4,9,10,16,3,13
U121,32,Female,Student,Android,6,7,3,6,1,43,5,9
U122,26,Female,Student,iOS,6,4,4,5,5,45,0,2
U123,50,Female,Business Owner,Android,4,8,1,5,2,12,1,8
U124,49,Female,Professional,iOS,6,4,8,9,8,20,5,11
U125,23,Male,Freelancer,iOS,4,2,10,7,5,10,0,6
U126,21,Male,Student,Android,5,4,7,7,10,26,4,2
U127,25,Female,Business Owner,Android,9,4,8,8,9,16,3,8
U128,27,Other,Student,Android,11,2,7,4,6,29,4,4
U129,58,Male,Professional,iOS,9,7,5,8,2,51,3,9
U130,28,Male,Professional,iOS,6,5,5,9,1,53,4,6
U131,45,Female,Business Owner,iOS,2,3,10,6,4,48,1,8
U132,56,Male,Professional,Android,6,6,1,6,10,29,6,10
U133,22,Female,Professional,Android,2,4,1,8,7,12,6,12
U134,42,Male,Business Owner,iOS,9,4,3,8,7,14,1,4
U135,42,Female,Student,iOS,5,1,7,9,5,6,1,14
U136,56,Female,Student,Android,3,1,7,8,10,57,5,5
U137,47,Female,Freelancer,Android,10,8,6,8,6,19,5,6
U138,51,Female,Business Owner,Android,8,4,4,7,3,58,1,11
U139,34,Male,Business Owner,Android,4,2,6,7,10,8,1,6
